ID;_frage;_antwort_1;_antwort_2;_antwort_3;_antwort_4;_loesung;_kategorie
7240;Von welchem Bundespräsident wurde Helmut Kohl vereidigt, als er das erste Mal Bundeskanzler wurde?;Roman Herzog;Walter Scheel;Karl Carstens;Richard von Weizsäcker;3;Politik
17528;Wer sagte "Alles Wissen geht aus einem Zweifel hervor und endet in einem Glauben"?;Anette von Droste-Hülshoff;Katharina von Bora;Marie von Ebner-Eschenbach;Hildegard von Bingen;3;Leute
4039;Im wie vielten Teil von Alien spielte Winona Ryder mit?;vierten;dritten;zweiten;ersten;1;Unterhaltung
7319;Von welchem Verein wechselte der Fußballspieler "Hulk" 2008 zum FC Porto?;Vissel Kobe;Tokyo Verdy;Sagan Tosu;Kawasaki Frontale;2;Fußball
24671;Womit besiegte David den Riesen Goliath?;mit seinen bloßen Händen;mit einem Schwert;mit einer Steinschleuder;mit Gift;3;Religion & Mythen
24202;Wo wurde die deutsche Politikerin Rita Süssmuth geboren?;Wuppertal;Hannover;Leverkusen;Heidelberg;1;Leute
13856;Welcher deutsche Rapper ist ein "Rebell ohne Grund"?;Casper;Prinz Pi;Cro;Vega;2;Black & Hip Hop
4666;In welchem Jahr wurde der letzte Staufer, Konradin, hingerichtet?;1012;1268;1156;1304;2;Geschichte
6261;Mit welchem Schauspieler war Supermodel Cindy Crawford von 1991 bis 1995 verheiratet?;Richard Gere;Brad Pitt;Mel Gibson;Tom Cruise;1;Mehr Lifestyle
8405;Wann wurde Ernest Hemingway geboren?;20081897;21071899;23051901;20081898;2;Leute
6371;Mit welcher Single schaffte es Falco 1986 auf Platz 1 der amerikanischen Billboard-Charts?;Coming Home;Jeanny;Rock me Amadeus;The Sound of Musik;3;Pop
14662;Welcher Prinz beging in Meyerling Selbstmord?;Prinz Karl Ludwig von Baden;Kronprinz Rudolf;Franz II;Kronprinz Eugen;2;Geschichte
23939;Wo spielt der Fußballer Ciprian Deac seit 2012?;Olympique Lyon;CFR Cluj;Rapid Wien;ASC Rom;2;Fußball
4761;In welchem Land (nach heutiger Landkarte) wurde Kofi Annan geboren?;Senegal;Ghana;Südafrika;Kamerun;2;Politik
14152;Welcher Filmstar ließ schon in den 1950ern die ersten Ballerinas von Salvatore Ferragamo entwerfen?;Audrey Hepburn;Marlene Dietrich;Marilyn Monroe;Claudia Cardinale;1;Mode
6112;Meister Lampe ist...?;der Bär;der Fuchs;der Hase;der Storch;3;Literatur
7916;Wann kam in den USA die erste Antibabypille auf den Markt?;18 August 1960;1 Mai 1959;15 August 1961;1 April 1960;1;Liebe & Sex
